Segment,Start Time (hr),End Time (hr),Duration (hr),Positive Energy,Negative Energy,Net Energy
1,0.0,10.25,10.25,0.0,-580.9862464208578,-580.9862464208578
2,10.25,14.75,4.5,478.3596345291269,0.0,478.3596345291269
3,14.75,16.75,2.0,0.0,-9.649929404821151,-9.649929404821151
4,16.75,17.0,0.25,5.686938271718133,0.0,5.686938271718133
5,17.0,20.25,3.25,0.0,-550.9460317962362,-550.9460317962362
6,20.25,24.0,3.75,430.1629730506473,0.0,430.1629730506473
