Event,Duration (hr),Positive Energy,Negative Energy,Net Energy,Avg Power (p.u.)
Morning LU,3.0,0.0,-0.031330921193059975,-0.031330921193059975,-0.010443640397686658
Morning Shed,4.0,0.0,-578.818895590625,-578.818895590625,-144.70472389765624
Evening LU,1.0,5.686938271718133,-3.3301675807751394,2.3567706909429935,2.3567706909429935
Evening Shed,3.0,0.0,-543.8195373934097,-543.8195373934097,-181.27317913113657
TOTAL,24.0,914.2095458514923,-1141.5822076219151,-227.37266177042284,-9.473860907100955
