Segment,Start Time (hr),End Time (hr),Duration (hr),Positive Energy,Negative Energy,Net Energy
1,0.0,10.25,10.25,0.0,-0.23235626705053503,-0.23235626705053503
2,10.25,14.75,4.5,0.19129818424880077,0.0,0.19129818424880077
3,14.75,16.75,2.0,0.0,-0.0038551163463763,-0.0038551163463763
4,16.75,17.0,0.25,0.0022731571993174,0.0,0.0022731571993174
5,17.0,20.25,3.25,0.0,-0.22033999155056766,-0.22033999155056766
6,20.25,24.0,3.75,0.17203131957756315,0.0,0.17203131957756315
