Event,Duration (hr),Positive Energy,Negative Energy,Net Energy,Avg Power (p.u.)
Morning LU,3.0,0.0,-1.4718293223667939e-05,-1.4718293223667939e-05,-5.515700032709958e-06
Morning Shed,4.0,0.0,-0.22365801069198213,-0.22365801069198213,-0.05787012949513577
Evening LU,1.0,0.0011365785996587,-0.0010971243766094252,3.945422304927476e-05,0.0009419212772082248
Evening Shed,3.0,0.0,-0.20687951963191664,-0.20687951963191664,-0.07249672520224858
TOTAL,24.0,0.355421894323778,-0.4565512111789143,-0.10112931685513626,-0.00378952974674157
