start_time,end_time,duration_hours,E_mean_total_kWh,E_97_total_kWh,E_2_total_kWh
00:00,00:45,1.0,-85.77585833846751,7548.582613303261,-7733.76384200721
01:00,04:30,3.75,259.0154422884616,17847.97892646267,-17336.330110958585
04:45,05:00,0.5,-35.882990172359314,2436.41811807055,-2505.580998116874
05:15,05:45,0.75,19878.2812540112,24761.676167910085,14979.016283871964
06:00,09:45,4.0,-84039.9898519485,-46818.35873223569,-121071.9795632062
10:00,11:00,1.25,58138.79424524468,70994.843956341,45148.69285939759
11:15,13:45,2.75,-1661.2268240901722,25226.575061728363,-28552.38997759913
14:00,14:15,0.5,123.41568815916435,4462.9878771820695,-4204.360437552641
14:30,15:15,1.0,-204.7208816721759,8376.871932174485,-8781.890581335247
15:30,15:30,0.25,3.7473789631403633,2237.003862222751,-2230.252406353644
15:45,16:15,0.75,-59.9828347557559,7058.660786383889,-7191.694150716994
16:30,16:45,0.5,18764.858935660624,23105.014730218696,14401.78121077493
17:00,19:45,3.0,-78789.1540956477,-46626.36369704224,-110778.25706383263
20:00,21:00,1.25,55484.765473982436,69344.78792142798,41497.57887443592
21:15,22:15,1.25,-1697.5946108952794,13120.324627908503,-16480.652968924154
22:30,22:30,0.25,13.595641848336527,2807.031223495829,-2775.827545973245
22:45,23:45,1.25,-325.1601328238321,12076.810365767464,-12723.696668685896
