time,P_mean,best_case,worst_case
2018-01-14 00:00:00,0.00959654241160024,257.43578528819353,-257.31480298438646
2018-01-14 00:15:00,0.012360560422621347,233.8572389592232,-233.66916673618243
2018-01-14 00:30:00,-0.008722679755919671,229.663703828503,-229.7229262569872
2018-01-14 00:45:00,-0.04458485028317227,187.55978842173772,-187.60670648457562
2018-01-14 01:00:00,0.002540210636198026,140.2492215296611,-140.15383889638724
2018-01-14 01:15:00,0.026887489859291236,151.3912859433649,-151.4075502858259
2018-01-14 01:30:00,0.03263984620843985,145.35885168964114,-145.22817098565088
2018-01-14 01:45:00,0.027530254790463005,121.97546662138689,-121.84471773705718
2018-01-14 02:00:00,0.019109358642708685,135.8133626613187,-135.74016799321316
2018-01-14 02:15:00,0.012435437023214035,143.89713411296134,-143.85004199803348
2018-01-14 02:30:00,0.0003905804426267423,133.237584410821,-133.18440896668312
2018-01-14 02:45:00,0.014208098754579623,116.28089706010383,-116.17221764463602
2018-01-14 03:00:00,84.17330753682995,201.93273532878652,-33.8381624282199
2018-01-14 03:15:00,422.1836319376198,568.9562087392405,274.67952888107766
2018-01-14 03:30:00,514.4850557149107,635.4395131336303,392.9407302348418
2018-01-14 03:45:00,806.4269969830771,938.8954176463656,672.9670331168511
2018-01-14 04:00:00,899.5434179093759,1040.7372080814762,757.109547340513
2018-01-14 04:15:00,1080.4692011942864,1235.256357658951,924.5427080913967
2018-01-14 04:30:00,869.729465569719,1008.2611257508024,730.5334560413696
2018-01-14 04:45:00,919.2085959765959,1011.0990517781804,827.014398521296
2018-01-14 05:00:00,694.2749426711569,827.3024074114251,560.5813868873854
2018-01-14 05:15:00,653.6364456455744,793.9427143101702,512.9413692446028
2018-01-14 05:30:00,722.407928579933,878.656088132853,565.6882940711721
2018-01-14 05:45:00,805.8939477168481,957.6860845567837,653.2709968506301
2018-01-14 06:00:00,-523.801617094452,-369.6665685717064,-678.1320613506537
2018-01-14 06:15:00,-1596.423496184801,-1445.0817595726173,-1747.5865722046944
2018-01-14 06:30:00,-2070.697820623203,-1939.1095464415212,-2201.6827558319333
2018-01-14 06:45:00,-2380.255443892211,-2205.3803731508456,-2554.094150254894
2018-01-14 07:00:00,-2435.8022476769033,-2265.0254318352595,-2605.955603546645
2018-01-14 07:15:00,-2271.555717856004,-2080.6313183692646,-2461.634892408385
2018-01-14 07:30:00,-2254.691138072083,-2029.4769802764438,-2479.1924961534187
2018-01-14 07:45:00,-2366.9694963388433,-2116.080153785218,-2617.2278955455886
2018-01-14 08:00:00,-2270.8725712662485,-2010.9932854712722,-2530.3344056343567
2018-01-14 08:15:00,-2258.077779960786,-1992.6658511919813,-2523.0074313306272
2018-01-14 08:30:00,-1851.3961615807862,-1569.8360100414498,-2132.48256236228
2018-01-14 08:45:00,-1711.94442987103,-1421.6266389516413,-2001.903871347054
2018-01-14 09:00:00,-1634.759277005643,-1311.897088942474,-1957.2206956898353
2018-01-14 09:15:00,-1440.9014203198803,-1123.213110806037,-1758.246415278702
2018-01-14 09:30:00,-1297.584691682252,-964.0828795292819,-1630.946165334015
2018-01-14 09:45:00,-1195.9830711291906,-866.5118064234957,-1525.436266651217
2018-01-14 10:00:00,-873.3880943701279,-549.392922838947,-1197.377581846078
2018-01-14 10:15:00,-132.7705854932301,221.27324118222714,-486.99133674463246
2018-01-14 10:30:00,176.58396203734537,554.7169233843324,-201.7749363366347
2018-01-14 10:45:00,569.8797528887499,944.3679754668165,194.83028049711356
2018-01-14 11:00:00,568.6005461526365,939.8913205687941,196.98211566078135
2018-01-14 11:15:00,681.7454446191932,1060.91850746634,302.41388402064695
2018-01-14 11:30:00,1031.8635097631613,1420.5643343287866,642.8057497251239
2018-01-14 11:45:00,1080.5649364965675,1456.893384217603,703.9754397642901
2018-01-14 12:00:00,1219.8983182779584,1587.9184353648834,851.4553265025033
2018-01-14 12:15:00,1332.6148020782875,1679.0160315929297,985.9503483783665
