time,P_mean,95th,5th
00:00,-0.006021330890291665,0.0014957144240952402,-0.004531450048716579
00:15,-0.004394765687891322,-0.0037954681624228215,-0.004190234872964993
00:30,-0.004850651686069796,-0.004639561939143277,-0.0055811346929885985
00:45,-0.006614507527501701,-0.013239345580643658,-0.012281309637955928
01:00,-0.003947113870395924,-0.0014177147453153793,-0.0060018799466377
01:15,-0.005593048490794672,-0.00014057598141903327,-0.009005683377381501
01:30,-0.006802371392183204,-0.005802129115437538,-0.00956907357672776
01:45,-0.0059960796224629576,-0.003424181991704245,-0.0019019542903890851
02:00,-0.005728258142198683,-0.0011570368533568853,-0.0035688865688712212
02:15,-0.007884543123566345,-0.013000262144117869,-0.01096859048305987
02:30,-0.009394114087484695,-0.009012209429499762,-0.010316925528542242
02:45,-0.011033018208706835,-0.01423944384524134,-0.012464159788208917
03:00,-0.014993299097227464,-0.016526379084638165,-0.01374336113073582
03:15,-0.010883145648591608,-0.013926990706465858,-0.012327640492884484
03:30,-0.011549807432629677,-0.015676187410036846,-0.014426967459598927
03:45,-0.0153820668359117,-0.018880545615019173,-0.0161329098548606
04:00,-0.010451486951069455,-0.009801159563778583,-0.01485902940902406
04:15,-0.012862956204884313,-0.007379203198098594,-0.018431317021395444
04:30,-0.005673181063059474,-0.0023157274397362926,-0.008053436753186816
04:45,-0.007156931943057998,-0.008081751050212915,-0.005626858374085941
05:00,-0.007244910916796243,-0.005903224689433273,-0.008416957622870314
05:15,-0.007348960137107952,0.0004153938420756731,-0.009781151715998249
05:30,-0.010111377756146567,-0.010995729248605812,-0.008039758853300327
05:45,-0.011665560785758089,-0.011717405852380125,-0.011472690507815742
06:00,-80.90720040704326,-82.36685360585793,-79.47596007541873
06:15,-184.38669119652988,-188.8799332604352,-179.91918244156884
06:30,-193.83309367469,-197.24041544391892,-190.39173568613046
06:45,-212.71840944885298,-214.73632107476544,-210.5999065727816
07:00,-208.4742685356984,-210.84954331473986,-206.04753953511886
07:15,-184.8674911292186,-185.72681625134572,-183.959817336608
07:30,-175.6591095867262,-175.9607388505866,-175.3190656538379
07:45,-174.65735650639778,-175.07614610771273,-174.204764060425
08:00,-152.48840579590214,-152.66255715514762,-152.3114929675573
08:15,-147.4030333306793,-147.43529744043593,-147.35437650323166
08:30,-124.36622911760566,-123.58036421223056,-125.13280162927373
08:45,-115.55918707158457,-114.99317330342518,-116.11418110003103
09:00,-107.32622032935166,-106.62370614805292,-108.01129718345157
09:15,-99.99264963947655,-99.33643263687532,-100.65180434963236
09:30,-77.0653622864184,-76.27464557087416,-77.86807854523931
09:45,-75.57087430632481,-74.97875788307363,-76.15935449637374
10:00,-8.465819833429691,-6.321951498322619,-10.609882571367734
10:15,30.789517376455137,32.78023213111862,28.783421720272372
10:30,66.9045053608379,68.90676938180809,64.87062231754749
10:45,74.6382602953297,76.8857051129769,72.36309402175766
11:00,94.26326865847693,96.17764033768867,92.30489827811084
11:15,85.23996017125762,87.11901143610669,83.32825541123691
11:30,110.83958827933691,112.41986298335064,109.2334236166372
11:45,100.68274079145681,102.28975919207267,99.0292903034599
12:00,147.10595772244403,149.63947549811735,144.51970354752723
12:15,147.3241807140122,149.95751816741574,144.64830954410616
12:30,144.22284416983132,146.21271538222425,142.18371829527666
12:45,150.5595953255065,154.33976048507213,147.0159058782915
13:00,200.6213782529461,203.79385619882203,197.37397140484234
13:15,137.2568917134207,139.41694275135615,135.05601963540863
13:30,163.83146478374283,167.38617170451175,160.257911202355
13:45,128.74725580624522,132.1559568440981,125.48867814317407
14:00,96.23817993928105,100.27099850297407,92.48710092830339
14:15,27.167466443826584,27.644964803985204,26.69213095879587
14:30,7.005482312099957,7.2151249174817735,6.802507919273296
14:45,-5.258725053020896,-5.357047659102307,-5.157754172198906
15:00,-5.557354068295751,-5.563777154907029,-5.539584695029021
15:15,-6.4492719229933755,-6.514183389589107,-6.362571812371641
15:30,-5.697217813487441,-5.805348370410002,-5.582039245447049
15:45,-2.316478438386582,-2.1862997949643272,-2.438627436300692
16:00,-4.687091252723121,-4.718408336742755,-4.646995214440949
16:15,-4.630250769642771,-4.652852627889274,-4.584237215563405
16:30,-4.003328300734665,-4.099218499481253,-3.9051852852473417
16:45,22.747753086872535,30.130740811920532,16.53827686281545
17:00,-151.83178778503958,-149.8975542294857,-153.44032156537799
17:15,-378.3394603953297,-388.07727368664064,-369.5018912821723
17:30,-329.30405209778144,-330.79998167999395,-327.6780872067653
17:45,-293.83064857058025,-294.8544697854912,-292.7383596738524
18:00,-234.08375512481751,-233.9559901590165,-234.166581962635
18:15,-194.4636050015315,-194.32658658122426,-194.57746387284874
18:30,-159.8788198441548,-159.3344859380473,-160.40366189894814
18:45,-123.28266754236842,-122.66379661094788,-123.88607198769472
19:00,-100.59316579246553,-100.12953251639567,-101.05823463906324
19:15,-77.95909353140291,-77.49347698589531,-78.42977798020877
19:30,-71.30628191337735,-70.75784526266852,-71.87248205592095
19:45,-60.404811974790164,-60.071879544325384,-60.74627905412842
20:00,-28.505977611305525,-27.810899624688773,-29.223090494796907
20:15,13.31103710920081,14.748540412843681,11.871070485394398
20:30,64.98855295975477,67.06682634632375,62.89956193236435
20:45,65.73931610281488,67.54000328600978,63.917615317175205
21:00,109.66551033680707,111.73635128380465,107.5716168193552
21:15,118.37183520032045,119.88151764891438,116.80364109662025
21:30,125.33426987588837,126.73378642030252,123.90505983787284
21:45,117.80322846413628,119.19840682008373,116.36595378633103
22:00,97.06513169604011,98.1243094111851,95.96776891499121
22:15,132.7928770854803,135.45542649562447,130.11697498080184
22:30,116.64584347075277,118.8129396509529,114.45769644821496
22:45,94.02240928946719,95.73497783835899,92.27759145577795
23:00,129.45199318858977,131.91423146875206,126.94562891365399
23:15,162.0951274034843,165.78783240913384,158.3665469034862
23:30,169.70618496351523,172.72839557305326,166.61279913865434
23:45,203.65857505633699,207.73414095317622,199.52652227100498
