time,P_mean_kW,95th,5th
00:00,383.2554183725509,396.2487734100158,370.5085493210859
00:15,335.0836413757316,346.90233035348257,323.52838276600016
00:30,323.33642748606303,334.94744137491045,311.9806217850758
00:45,283.8964283639921,293.4031765776337,274.62878163924694
01:00,232.36843429916848,239.4880661744849,225.46440529743822
01:15,218.11612807259542,225.82499516811134,210.6859361440205
01:30,198.4903155439138,205.90806609467208,191.38769171265912
01:45,181.5955647582945,187.8438355837738,175.6528962849493
02:00,191.69970253869923,198.62775914877645,185.04299096352128
02:15,200.45598121730535,207.78669362343635,193.4007677434041
02:30,192.7320360630983,199.53653241645722,186.21170335849092
02:45,179.45080177341703,185.39008919847,173.76437048471266
03:00,175.80657513257782,181.72897559631633,170.17881443184473
03:15,183.2812036453633,190.27232819714075,176.62045554314489
03:30,170.43565677331378,176.00338100381052,165.15049973000862
03:45,172.68461241224284,178.62566390346413,167.0486718888642
04:00,172.51897958479236,179.06595832958064,166.3260620143251
04:15,183.02111409346884,190.0880050381368,176.27743415210648
04:30,176.0098218005699,182.27173253447174,170.02212867794861
04:45,159.46844834495525,162.90490933085152,156.1431258057896
05:00,187.32426607166622,193.6948541237322,181.21222041209364
05:15,194.2537175906831,200.8383444099292,187.90477406145732
05:30,203.58668362834706,210.9878695268548,196.44438167697172
05:45,200.75341537390744,207.92236212690247,193.8613984498107
06:00,222.73671930146875,230.90934309279967,214.82734151469768
06:15,236.51132411330144,245.5313582800161,227.77327951884413
06:30,250.8161679889247,259.77645482677815,242.08814176565323
06:45,290.7977607619271,301.65659800177326,280.19683529632886
07:00,292.26691010719105,303.05039691453794,281.7380210324277
07:15,302.2296569278495,313.0964240499356,291.6120290820044
07:30,347.73505371652175,361.22939047130023,334.58491956361047
07:45,382.28548395584994,395.827630643861,368.9966788124262
08:00,398.2265239582388,412.2606737015957,384.4563896281574
08:15,434.7178055518017,449.27297760368737,420.40955072531074
08:30,423.96917754603334,438.15143615085566,410.0220724550073
08:45,445.9725321679051,460.4619271014093,431.7009880340189
09:00,504.74364209164287,520.8406590567781,488.8501957283972
09:15,501.45094554313056,517.1014730108548,486.00760876225087
09:30,506.17630121353574,522.7419160553927,489.8456228203828
09:45,517.7150345892463,533.9960635977178,501.63649897127266
10:00,521.6205377817824,537.4847829536681,505.96434191748176
10:15,530.5072560380385,546.9168587840396,514.2961969127346
10:30,576.0011153606472,593.8123771721752,558.4018646785235
10:45,568.9291326590917,586.6832931835024,551.38391809468
11:00,562.9719115401666,580.5336368096955,545.6165464362391
11:15,578.788067741526,596.5899757484807,561.1762563520297
11:30,586.6406452899316,604.816364986287,568.6655376490036
11:45,590.7145546204129,608.5087381239723,573.1296044894041
12:00,609.2716938885092,626.5127639337809,592.2261496764893
12:15,571.0151589553915,586.7835631822687,555.4367266185092
12:30,596.0194773741537,613.8901799348744,578.3601368192518
12:45,612.1827167302393,634.3354735378875,590.7719518924594
13:00,562.4395421110574,581.1169570560845,544.2614436606626
13:15,504.8385990393184,520.0653093004528,489.84739949778725
13:30,504.6173212400347,519.5082942844505,489.9268494288086
13:45,530.1279329037937,546.5380318048008,513.939812083635
14:00,512.9542286737093,528.6323979815053,497.49892990388173
14:15,507.1973024374968,522.7198293259704,491.8851452925517
14:30,481.9333226106821,496.2866167819781,467.78730295572956
14:45,493.1986023661481,508.1422608898107,478.4708454009344
15:00,465.0131071570988,479.13981812451715,451.1028759253059
15:15,486.966985630402,501.7528978397439,472.392623551305
15:30,450.13464330109866,463.7875317940551,436.6963051484142
15:45,479.29295500444647,494.52351170810044,464.285009899727
16:00,509.9564669827623,525.5343414366765,494.5742349485262
16:15,520.1410316502706,536.044456857105,504.43549292863094
16:30,507.0524907439438,522.1040830563031,492.2048720801669
16:45,511.78991089628045,527.4693164514631,496.3310018930466
17:00,577.2953767091439,594.8457322146388,559.9503494468545
17:15,602.6501142391978,625.7288263214126,580.7560530576942
17:30,582.4361453413993,599.9083440091381,565.2587771939181
17:45,582.5249962333509,599.1493494339882,566.0958871215133
18:00,588.4968225766015,605.5731527018914,571.6225833314611
18:15,574.1138467603404,590.7311605493496,557.6960899697401
18:30,584.0300588033708,600.281554941625,567.9610056503311
18:45,613.1137020264474,630.8598977701222,595.55677923496
19:00,608.8029233663918,625.716847734498,592.077595096026
19:15,610.3456496117725,627.3958885352581,593.4811053755315
19:30,629.5514511709014,646.8328434481253,612.4570536325969
19:45,641.6081436200907,659.4177046755865,623.994551530778
20:00,683.4759425802281,702.5721476800483,664.5835662175583
20:15,701.9801279497592,720.5528633844527,683.5728782213114
20:30,694.8897571679961,713.4108395844756,676.5202152230621
20:45,672.5502552639576,690.6831787175068,654.5821262432542
21:00,656.068416448832,673.4162465485567,638.900909392399
21:15,658.9663001577053,678.6158159309177,639.6599599780723
21:30,667.6191408955399,686.8595635356279,648.6204360671263
21:45,603.295659626068,620.1720501920298,586.6094823246855
22:00,618.1083007658059,635.8489012151326,600.561877408362
22:15,601.9444072136564,618.7561912495437,585.3176762773006
22:30,576.6153758921527,593.3697384185378,560.0661268435745
22:45,579.4951894583604,596.7670292074079,562.4893311135717
23:00,518.2004455317746,534.5714204575024,502.10597917868415
23:15,428.0690632294828,441.2828864347818,415.07754448948776
23:30,416.38519784467,430.9888701959343,402.0844040946609
23:45,386.25527786471224,400.03017228125725,372.7422326678318
