time,P_mean,95th,5th
00:00,-1.310148517508214e-06,-6.861907401095602e-06,-4.797048990617947e-06
00:15,-1.5487450936990665e-06,-7.117941902556879e-09,2.4206312695951304e-06
00:30,-3.03623362718497e-06,2.5911569309089444e-06,-1.951929068794156e-06
00:45,-4.270805468997718e-06,-5.467837866091063e-07,-7.284297897092173e-07
01:00,-2.2542166484978976e-06,-5.100663420701257e-06,-5.478918359211327e-06
01:15,-4.034733962293702e-06,-3.9989662145994975e-06,-4.80615416939556e-06
01:30,-4.065600086811116e-06,-3.7522508601894877e-06,-4.627011602795217e-06
01:45,-3.0843022903043193e-06,-1.0377180623202809e-05,-4.848227231901703e-06
02:00,-3.2245598271946063e-06,-6.041989956198646e-06,-2.4228677966975365e-06
02:15,-5.505148911399971e-06,-2.0756383316888893e-05,1.191998726710053e-06
02:30,-6.32598929289907e-06,-1.2141818128391657e-05,-3.008619430103221e-06
02:45,-6.737816135901631e-06,-9.668128875900406e-06,-4.074530585998493e-06
03:00,-8.192372740703502e-06,-8.26276000970294e-06,-4.632734382697956e-06
03:15,-5.519462719510981e-06,-1.171047211620535e-05,-2.4216150628919575e-06
03:30,-5.181156466499415e-06,-5.36919853139084e-06,-3.899491383199671e-06
03:45,-7.45485809740265e-06,-1.3935871593998006e-05,-9.01054748880803e-06
04:00,-5.325023323801692e-06,-2.145445693879644e-07,-6.172835314607883e-06
04:15,-6.335365232701395e-06,8.970122973989136e-07,-6.279180094589942e-06
04:30,-4.956376770198778e-06,-4.9564061216089694e-06,-4.856544571607557e-06
04:45,-3.057335305506337e-06,-2.6498350912951274e-06,-1.6416840196986637e-06
05:00,-2.9759255096017956e-06,-3.953424224198421e-06,-4.998751103296728e-06
05:15,-3.7811698012923944e-06,7.205712679037024e-07,-6.931561555595378e-06
05:30,-6.971272170308573e-06,-1.2948168923998526e-05,-7.43394610790149e-06
05:45,-6.438082254991984e-06,-1.8878422307008758e-05,-7.288722392903568e-06
06:00,-0.032355953285363996,-0.033243010391726203,-0.031547417337381
06:15,-0.07373780815292401,-0.0764345969780067,-0.0711350364329241
06:30,-0.07751722580171891,-0.0795321982868332,-0.07547001852305579
06:45,-0.0850703658134323,-0.0862205529862978,-0.0837361539991983
07:00,-0.0833713608059154,-0.0847569316055389,-0.0818924292221797
07:15,-0.07393113623586829,-0.0744250810443319,-0.0733561974679927
07:30,-0.07024371983617039,-0.070378578433862,-0.07000403167970509
07:45,-0.0698475967315261,-0.070089639927605,-0.0695453701556564
08:00,-0.06098238640857469,-0.06108147571213671,-0.060864701769921314
08:15,-0.058947508215416985,-0.058948871079423704,-0.05889745800572249
08:30,-0.049737631559749695,-0.04926397318887049,-0.050170958304512486
08:45,-0.046217461575264795,-0.04588915087695941,-0.046539604511231
09:00,-0.0429241673076281,-0.04251749897150919,-0.0433224471692214
09:15,-0.03999250019190728,-0.0396091808573486,-0.04037479146795281
09:30,-0.030821144977588505,-0.030346912977342905,-0.03129847725824039
09:45,-0.0302241050231237,-0.029871507126520702,-0.03057866212838589
10:00,-0.003391409579712512,-0.0021406222521599128,-0.004661993400815301
