time,P_mean_kW,95th,5th
00:00,0.15381588912595648,0.16164490698503806,0.14643032048206123
00:15,0.13446185207915112,0.14160731827815004,0.12778941120424225
00:30,0.12973976058247697,0.13674230767966952,0.1231894662466242
00:45,0.11355345958957189,0.1193054921497788,0.10821342120567874
01:00,0.09308190498260477,0.09740866623865417,0.08912918423694295
01:15,0.08743090705201022,0.09214497030733271,0.08321093346048203
01:30,0.07956776007060412,0.08413217273898824,0.0755599599874945
01:45,0.0727866462764467,0.07663935675239246,0.06945830841311054
02:00,0.07684858146551547,0.08108982566548921,0.07308698211801659
02:15,0.0803686765802391,0.0848522988827618,0.0763673873629408
02:30,0.0772644483335604,0.08144377071827158,0.07358339241803724
02:45,0.0719280774035507,0.07557837406688644,0.06872213590556096
03:00,0.07046029566326159,0.07411011678723368,0.06731048108576644
03:15,0.07346524295868213,0.07777787432556627,0.06973473157537505
03:30,0.0683028037903923,0.07173975560808817,0.06534935596908967
03:45,0.06920358535727501,0.07287887046764452,0.06605789906324484
04:00,0.06914174783740618,0.0732017313027538,0.06569835868255884
04:15,0.07336136374591092,0.07772209956485684,0.0695786223066263
04:30,0.07054691404931764,0.07440076797782791,0.06718195624190551
04:45,0.06390034672860063,0.06599176391005855,0.062008686445762747
05:00,0.07509189116040133,0.07899922321492907,0.07163844552177229
05:15,0.07787735176167286,0.0819006331171445,0.07427277376563048
05:30,0.08162723390213104,0.08614966042827718,0.07756641539724972
05:45,0.08048683003627266,0.08487746951806358,0.0765827957434132
06:00,0.08932094954481236,0.09430555036057663,0.08481287534863573
06:15,0.09485558365539778,0.10036184091541887,0.08986578430848112
06:30,0.10060783892932951,0.10603574380727347,0.09559325664222304
06:45,0.11536077869838356,0.12188477848951758,0.10931481703560807
07:00,0.11726073634350931,0.12378230223469386,0.11120528227837098
07:15,0.12126192481931454,0.12784019247495096,0.11514649593163766
07:30,0.1352848259278304,0.1427287950121047,0.12829321612609532
07:45,0.1534272204940751,0.16157801395972252,0.14572829535765108
08:00,0.1598262495708337,0.16826358540416828,0.15184570991474916
08:15,0.17151466365410395,0.17999797722882033,0.16342661968299987
08:30,0.17017404384743448,0.17871235810075234,0.16207419378436785
08:45,0.17899521183869466,0.1876887266660048,0.17070018923370375
09:00,0.2026221549675335,0.21228487333355872,0.19337358923028802
09:15,0.20130750013835605,0.2106835661260395,0.19231019225076415
09:30,0.20320845627856582,0.21313450122257413,0.19370054141316187
09:45,0.2078413923307299,0.21761322617865184,0.1984690118669655
10:00,0.2094122234888095,0.2189088527379523,0.20028212986556632
10:15,0.21298424301680524,0.22282273841648179,0.20354506305860834
10:30,0.23126132837300398,0.24191413987979535,0.22099856511673605
10:45,0.2258523003282708,0.23636248479606128,0.21573744413099535
11:00,0.2260299159762048,0.23654948670418774,0.2159063562379113
11:15,0.23238289859328312,0.2430415385225173,0.22210240063033015
11:30,0.23554542515096508,0.2464380755991786,0.22505283628101502
11:45,0.23718399526809128,0.2478230307455053,0.22690044177205845
12:00,0.24463585893378548,0.25494201106115794,0.23467242588157838
12:15,0.22926468264890398,0.23870613430168752,0.22017375463497021
12:30,0.2393122022661414,0.25002141147491497,0.22900617724454542
12:45,0.2419411004563167,0.2551286230424525,0.22989708042634435
13:00,0.22453766030352085,0.23582759076655027,0.21405028941698695
13:15,0.20268266091248432,0.21181674040985188,0.19395606502311413
13:30,0.2024195977886427,0.211346261169301,0.19385809063694567
13:45,0.21246196689617386,0.2222959986590026,0.20302056999253226
14:00,0.20560658347095082,0.21500730994240994,0.1965972406721466
14:15,0.2031433583948578,0.21244148872007415,0.1942115013585932
14:30,0.19299752677806087,0.20161838394367665,0.1847641951134681
14:45,0.19658023537793867,0.2055184003711941,0.18802139317494224
15:00,0.18533295010516154,0.19379475457591908,0.17728365872037435
15:15,0.19494388666452767,0.20381875340961383,0.18645026924748728
15:30,0.18056026591797555,0.1887585811534685,0.1727363289886743
15:45,0.19237678797191685,0.20152248846132229,0.18364168543680212
16:00,0.2047338073761736,0.21408039182442345,0.19577039274111008
16:15,0.20850870299593058,0.21805756627037942,0.19936693257713553
16:30,0.20213124109852235,0.21112386743133776,0.19352258360458546
16:45,0.20505143557939443,0.2144639864763008,0.19604619329360576
17:00,0.2316816965449334,0.24217901955888632,0.2215553234272046
17:15,0.2416108630359645,0.2557752150472743,0.22913511293764438
17:30,0.22756942012409115,0.2372952090962345,0.2182033996936579
17:45,0.2315479686599795,0.24148223050018494,0.2219770429312274
18:00,0.2343492506287677,0.24455823349386208,0.22450822473509738
18:15,0.22997559609152726,0.2399099776262894,0.22039008398439466
18:30,0.23351030174104015,0.2432174883094357,0.22413827854677051
18:45,0.24538689432504895,0.25600558928109013,0.23513264969758096
19:00,0.24131199449502697,0.2513069439465849,0.23164793114192625
19:15,0.2442229240571853,0.2544124048144648,0.23436887456406047
19:30,0.25253947857385106,0.2628665395461477,0.24254112790719431
19:45,0.2575690309241481,0.2682110826830262,0.24727126815104192
20:00,0.2705838287423122,0.281673603284835,0.25981023568718215
20:15,0.28061916864636,0.29170614912211695,0.26984564876184064
20:30,0.27874029431730085,0.28981516964900716,0.26798880083744325
20:45,0.26965626290021766,0.2804811752983297,0.25914783308931943
21:00,0.2630000285479056,0.2733712385217641,0.252970439450574
