time,total_power_MW,5th_percentile,95th_percentile
2018-01-14 00:00:00,3845.786117146557,3718.3323761970355,3975.7770834131857
2018-01-14 00:15:00,3361.8626674852526,3246.3262502970883,3480.129497222116
2018-01-14 00:30:00,3243.7815773484444,3130.145532542028,3359.856894013293
2018-01-14 00:45:00,2839.0940848396795,2746.507163339559,2934.01432539551
2018-01-14 01:00:00,2327.3034779291365,2258.325417431385,2398.5333980030873
2018-01-14 01:15:00,2186.0134783994154,2111.674401233381,2263.0913033880015
2018-01-14 01:30:00,1989.3810297870305,1918.3166335422395,2063.595060761374
2018-01-14 01:45:00,1819.8577832428298,1760.462271059416,1882.3712446488416
2018-01-14 02:00:00,1921.4229505586256,1854.9325979153768,1990.6861307774834
2018-01-14 02:15:00,2009.38707188995,1938.783788106782,2082.6671568190413
2018-01-14 02:30:00,1931.783263012419,1866.599530324708,1999.811117618281
2018-01-14 02:45:00,1798.360941686681,1741.5117061200847,1857.748764968434
2018-01-14 03:00:00,1845.8496591077167,1787.0271030137264,1907.3818354141097
2018-01-14 03:15:00,2258.9764183095454,2181.3715428564497,2339.1226808306033
2018-01-14 03:30:00,2222.2319807676104,2156.3116612554195,2290.3066824584043
2018-01-14 03:45:00,2536.704090265217,2462.6170445274247,2612.798541705227
2018-01-14 04:00:00,2628.244605449104,2551.253534746497,2707.5069078042825
2018-01-14 04:15:00,2914.696724876523,2829.4865196726614,3001.9900896447602
2018-01-14 04:30:00,2633.580054405312,2557.0420115581387,2712.1984353105963
2018-01-14 04:45:00,2516.8831629618335,2458.990021295826,2575.583719405431
2018-01-14 05:00:00,2571.779041827371,2501.7870111723682,2643.685421174735
2018-01-14 05:15:00,2600.7548032906857,2525.950755448415,2677.540503972298
2018-01-14 05:30:00,2763.2934954374314,2680.564639774602,2848.122856623017
2018-01-14 05:45:00,2818.2754656760717,2737.3774654863464,2901.133369741762
2018-01-14 06:00:00,1709.4353119036793,1636.816137928487,1784.4870250952956
2018-01-14 06:15:00,775.1644374447502,714.2455510157504,839.0727971679273
2018-01-14 06:30:00,444.78317963898405,403.4156983564341,489.03984834844687
2018-01-14 06:45:00,504.0544297132697,437.87528563357245,573.838637485287
2018-01-14 07:00:00,496.00442140167064,433.61204241843933,561.5436127816014
2018-01-14 07:15:00,760.3456959868611,678.9049598445149,845.096927584939
2018-01-14 07:30:00,1127.8030464289943,1026.6146001935788,1232.0902433215501
2018-01-14 07:45:00,1469.1599044801223,1354.2190404847208,1587.1505928645581
2018-01-14 08:00:00,1725.3211454107868,1606.0919817563347,1847.5440806627166
2018-01-14 08:15:00,2030.3025886100916,1906.5878273037094,2156.6744069625615
2018-01-14 08:30:00,2403.496754254373,2264.171108501101,2545.5390631674013
2018-01-14 08:45:00,2763.500655103177,2618.3108208836143,2911.2518115632392
2018-01-14 09:00:00,3431.400479813055,3269.90605485347,3595.3781608827744
2018-01-14 09:15:00,3592.3575526529094,3431.4114622990733,3755.6491965137957
2018-01-14 09:30:00,3783.2153147866516,3615.509488415594,3953.386283626849
2018-01-14 09:45:00,4000.677550596987,3834.026387183497,4169.414125911343
2018-01-14 10:00:00,4362.522043904831,4197.164502239189,4529.90562010991
2018-01-14 10:15:00,5192.4505623663235,5002.3109870898425,5384.454067857361
2018-01-14 10:30:00,5958.8298013882695,5758.439428160122,6161.060683068773
2018-01-14 10:45:00,6216.9004257554925,6017.403357145754,6418.04542160452
2018-01-14 11:00:00,6220.015108692996,6024.023097858027,6417.842560613175
2018-01-14 11:15:00,6491.960964850435,6290.6021274028435,6695.139531489888
2018-01-14 11:30:00,6921.035219779694,6713.837400400519,7130.115059901864
2018-01-14 11:45:00,7010.692125998782,6811.970793555535,7211.14666774941
2018-01-14 12:00:00,7336.372779623512,7140.233812623684,7534.0056680154075
2018-01-14 12:15:00,7064.8554131120645,6875.7362401118,7255.594619315745
2018-01-14 12:30:00,7805.351266333882,7566.570542747991,8050.07006566409
2018-01-14 12:45:00,7373.518678104366,7159.144137702662,7590.6815069205395
2018-01-14 13:00:00,7352.97116645599,7134.254031531515,7576.224610831902
2018-01-14 13:15:00,6702.2619259808525,6515.88545192052,6890.442934815664
2018-01-14 13:30:00,6987.567193637279,6796.7305373987565,7180.269096528241
2018-01-14 13:45:00,7267.52095704484,7054.84551884647,7483.656948598105
2018-01-14 14:00:00,6555.6147507223,6358.630402935667,6757.145863849368
2018-01-14 14:15:00,5613.990892981769,5461.626536483199,5768.224210664261
2018-01-14 14:30:00,5292.310793532256,5149.830010400756,5436.74021462424
2018-01-14 14:45:00,5507.52454909998,5358.492330900165,5658.533454824743
2018-01-14 15:00:00,5179.207809820626,5040.437351002528,5319.998350007935
2018-01-14 15:15:00,5589.253402749374,5438.631893612894,5741.755875245519
2018-01-14 15:30:00,5357.567879777467,5219.152211630417,5497.726131992847
2018-01-14 15:45:00,5627.747711819658,5475.818917415379,5781.598920747858
2018-01-14 16:00:00,5777.538662098775,5622.970649231753,5933.8887758782585
2018-01-14 16:15:00,5782.408224698715,5623.801860799212,5942.951445871096
2018-01-14 16:30:00,5884.476661412986,5688.590365524955,6089.843726204639
2018-01-14 16:45:00,5962.797045804327,5773.445473794918,6159.404250792768
2018-01-14 17:00:00,4313.41664763625,4126.292430373089,4506.53675144674
2018-01-14 17:15:00,2026.6872690904825,1895.2817032993516,2161.1000122718615
2018-01-14 17:30:00,1953.8807530040601,1823.3052856899126,2087.5252430312894
2018-01-14 17:45:00,2056.856400500256,1919.622674998139,2197.122784924361
