time,total_power_MW,5th_percentile,95th_percentile
2018-01-14 00:00:00,3845.7765206041463,3718.3412981249917,3975.6471791814224
2018-01-14 00:15:00,3361.85030692483,3246.2722582628926,3479.9954170332708
2018-01-14 00:30:00,3243.7903000282004,3130.1931901847906,3359.868458799015
2018-01-14 00:45:00,2839.1386696899626,2746.454536973772,2934.113869824135
2018-01-14 01:00:00,2327.3009377185003,2258.2841764734267,2398.4792563277724
2018-01-14 01:15:00,2185.9865909095565,2111.700017444636,2263.081951519207
2018-01-14 01:30:00,1989.348389940822,1918.2362090717327,2063.5448045278904
2018-01-14 01:45:00,1819.830252988039,1760.3957780274548,1882.3069887964734
2018-01-14 02:00:00,1921.403841199983,1854.872768116165,1990.67276590859
2018-01-14 02:15:00,2009.3746364529268,1938.7700227060798,2082.6338301048154
2018-01-14 02:30:00,1931.7828724319763,1866.57353320746,1999.783939291391
2018-01-14 02:45:00,1798.3467335879263,1741.4678679083302,1857.683923764721
2018-01-14 03:00:00,1761.676351570887,1705.4491000853232,1820.8652654419466
2018-01-14 03:15:00,1836.7927863719258,1770.1664720913632,1906.6920139753718
2018-01-14 03:30:00,1707.7469250526995,1654.867169324774,1763.3709310205775
2018-01-14 03:45:00,1730.27709328214,1673.9031240588613,1789.6500114105736
2018-01-14 04:00:00,1728.701187539728,1666.7696997228065,1794.1439874059838
2018-01-14 04:15:00,1834.2275236822372,1766.7337319858088,1904.9438115812652
2018-01-14 04:30:00,1763.8505888355928,1703.937309559794,1826.508555516769
2018-01-14 04:45:00,1597.674566985237,1564.4846676272507,1631.97562277453
2018-01-14 05:00:00,1877.5040991562144,1816.38301376331,1941.2056242849822
2018-01-14 05:15:00,1947.1183576451112,1883.5977896621282,2013.009386203812
2018-01-14 05:30:00,2040.8855668574984,1969.4667684901638,2114.8763457034297
2018-01-14 05:45:00,2012.381517959224,1943.4472851849782,2084.1064686357163
2018-01-14 06:00:00,2233.236928998131,2154.153593667002,2314.9481992791407
2018-01-14 06:15:00,2371.587933629551,2284.1545567405446,2461.832123220445
