Home,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
bldg0002631-up06,0.0300050330258787,0.0294669982659502,0.0294756714202502,0.1083523581565039,0.0545842890017533,0.0370832165747108,0.1105463751905799,0.0552800351283482,0.0372815051356212,0.032009755090463,0.0303108161691298,0.0297900941871478,0.0296501829600175,0.0296500279006159,0.0296774075890899,0.0297348412802761,0.0297796251606894,0.0298361170898096,0.0298933025198864,0.0299513470615388,0.0299898400609194,0.0288325816405665,0.2617832738952592,0.1624903041586915,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0112672974317204,0.0166377108566854,0.0184142825662493,0.0189717279979997,0.0191958327803848,0.0194176469397104,0.0196750872540433,0.4469593070963293,0.2364737551322621,0.4691783689513181,0.1889955064950877,0.0854667084078831,0.1466147207177975,0.0627293682996274,0.0347836292485925,0.2197001151388324,0.2475307599899496,0.0887332432921957,0.0438153969285222,0.3356685153757446,0.1206182621053695,0.0517217481549643,0.032428590283109,0.0259653446204546,0.0238737858507769,0.0232487112411429,0.0230790683703002,0.0996138613529327,0.1262454374429734,0.3726110669566036,0.1312200949563583,0.0555682826773816,0.0336016419296016,0.1821185015805591,0.0731945648814483,0.1511145542955924,0.0642459479596015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.062260989524047,0.4167815902979429,0.2537584223177723,0.4665039771428724,0.4615177763389518,0.4662817368740368,0.2392679741505572,0.1620888747383329,0.0743353893758444,0.1334482725445735,0.1518729836626416,0.0651762345416252,0.0396396481753448,0.0321467836188478,0.029844700165382,0.0292558112553669,0.0293943386273941,0.0669692530648048,0.1916404004886824,0.2053686019092209
bldg0007434-up06,0.3705934951113712,0.1550470279628903,0.4884942779280554,0.4352831186391562,0.4541567309287774,0.2173135353254131,0.0980235962080173,0.0520753677421247,0.0359706971397288,0.0294405918350984,0.0225267772820165,0.0213615197258155,0.0219201184260603,0.0221934843923671,0.0223709195905398,0.0225154267928684,0.0226305634719809,0.0235169711509436,0.0263047796679513,0.0279285307123341,0.0289698884275153,0.0297985008520384,0.1691280039245269,0.0755092717894965,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.224350444153539,0.0927645324176564,0.0530844193190551,0.0388445589687784,0.0341223693941184,0.0326260764222967,0.0321762857707983,0.032058472315125,0.0320104736548774,0.0905721213677513,0.0378151738651722,0.0274301876103135,0.0261870489377945,0.0977218164034141,0.0483738513368693,0.0318443637070264,0.0276404943975291,0.0262658853281998,0.0258377618943976,0.0257154048286912,0.0256878793220997,0.0257027044768981,0.0257144372777043,0.0257459283877178,0.0257624081905114,0.0257728015606811,0.2325159019949102,0.2703344126891872,0.0745369942063427,0.4533424785787635,0.4122669711763657,0.4544774029534494,0.4066328073690051,0.4113548119905035,0.4272050588546181,0.438648411866602,0.4542762453935411,0.4667398028494924,0.4599149687652959,0.4715904970525891,0.4831820177847549,0.4936298145187929,0.4605083444608245,0.453129477209565,0.414554108893357,0.4337320028465981,0.4521230063029794,0.4691763940120017,0.4849556042474686,0.2594272313647718,0.104736755591171,0.0460348543870261,0.0359911392469964,0.0326921521002975,0.0317436001079723,0.0314189916167395
bldg0007856-up06,0.0810660365236967,0.0416138922842363,0.2656446367652166,0.105520579791521,0.0514622616122483,0.0344301868606932,0.0287503797904923,0.0269247264143673,0.0263437656148163,0.026199991544615,0.0261874317433869,0.0262201976909097,0.0262557519308572,0.0263183638296174,0.0657077580086344,0.1590527919798078,0.0678033005783865,0.2171138226920851,0.1525884710238817,0.0644951213592396,0.0385828857554898,0.0303822145158995,0.1859344780806029,0.1837745375674515,0.001,0.001,0.001,0.001,0.001,0.0970423090732366,0.4546391370894379,0.4108335785506502,0.4607740400742279,0.338116525797882,0.1928908282673529,0.1564241685781083,0.0664356747054282,0.0364733608623096,0.1582871324454743,0.0646071811331533,0.4504788772657493,0.4285997942219949,0.3445505533685885,0.1955918014946701,0.0791495453646293,0.0419134367510154,0.0301209604964414,0.0262207479508124,0.0249590885199538,0.0961314710744029,0.0470671532257494,0.0311856398279662,0.0265601026383589,0.0250644347427705,0.0246024437195708,0.2315298463951159,0.1695688417153261,0.1034743710198439,0.198138769499219,0.0790085212610392,0.3779770632230219,0.1354397794085076,0.3759012554084707,0.3955278225538464,0.1353698480114625,0.0589141046117868,0.1475481696597798,0.0639039660181021,0.001,0.001,0.001,0.001,0.001,0.0465241037743248,0.2113327280332258,0.2612634192764895,0.1869191258357977,0.1044830155994805,0.1385589717587638,0.1722407958671132,0.4667948582441732,0.2680557630534811,0.141964340380959,0.1718349066629275,0.07134018872223,0.0383716266088114,0.0924985822990292,0.0460409771682714,0.0308469791590966,0.0264933119766599,0.2512736857213106,0.2395914583584526,0.245372476737531,0.0930982652656298,0.3607697837442318,0.2758902350899196
bldg0008020-up06,0.0271682484930093,0.0271407107641759,0.0271486339841576,0.0271553573914093,0.0271866679419621,0.0272082313199566,0.0271810449460751,0.0271520227611672,0.0270975071816458,0.027065958511163,0.0270326648610962,0.0270030673416574,0.0269568877305776,0.0269336624284767,0.0269053951868409,0.0268794604747797,0.0268344751759994,0.0268114838884874,0.0267861236014333,0.0267590025722949,0.026728308926328,0.0266992842461857,0.1663604178753773,0.0716349499579235,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.1801526033384843,0.0759304668313366,0.0439349430354738,0.0327962779135186,0.0290904152915834,0.0278804883022965,0.0274732865174342,0.0381143385112595,0.0492979871768994,0.0340278572993182,0.0297170634255549,0.0287656558269298,0.028481934699607,0.0284150771834037,0.0283667059448112,0.0283217966191975,0.0282994526992846,0.0282766651167507,0.0282535698795539,0.0282352255484064,0.0281981759303107,0.0281832348235703,0.0281652534961063,0.0281453518882849,0.0281216734415819,0.027478950236942,0.1645599160040624,0.068561323994494,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0970604614349163,0.0599314985169605,0.0537411782624929,0.0343025642232617,0.0281842624049266,0.0266090539171531,0.0261140031375125,0.0259310543102645,0.0258323610547298,0.0257901499433737,0.0257600457930643,0.0257282455780684,0.0346666626198676,0.0598789049035173,0.0382337244891806,0.0305976520046958
bldg0008194-up06,0.0283527420243265,0.0249354874193658,0.0238485774361159,0.0235181740855608,0.0234627844005088,0.0234676715421919,0.02349986998798,0.023543249082277,0.0235676926894342,0.0231226337856664,0.0219550342678843,0.0222103902431374,0.0223071613786852,0.0223733644854473,0.1360730458773605,0.058306613517128,0.0331339868610004,0.2933878363298127,0.1868562035597061,0.0707060560872884,0.03883293426858,0.138603861327339,0.1740436009565878,0.0709980836782545,0.001,0.001,0.001,0.1505937196618162,0.0591617201638155,0.0301255710898007,0.2958337773997954,0.4409854161828515,0.152250114984836,0.1843441576678895,0.0737831167608333,0.0369002769892378,0.1826217407393205,0.0716634486141417,0.0360269713606154,0.0998861374955704,0.4538524281228651,0.3152856251891595,0.1311821612870884,0.0575327493582404,0.248426865488884,0.0950505326426441,0.0445252509146111,0.1077153790608749,0.0510093244053958,0.0320881499080708,0.025082971051014,0.1658087889934864,0.0678992514529888,0.0361989405422956,0.0271285017865731,0.0241417439655982,0.0231994821000322,0.0229162609929817,0.0228473042160968,0.0228489117809969,0.0906824026566783,0.0443719605735111,0.02935570756678,0.0249655010605276,0.0905859133260413,0.0443318830441316,0.4849827285928207,0.1681594575918524,0.001,0.0076411222146323,0.4463382983697185,0.1544558956487708,0.219780658484792,0.2211520487444218,0.2379546458207,0.0895327050939312,0.2408048596828667,0.1686342500399487,0.0665156970876409,0.0624521659883432,0.4720749036717651,0.2431394153358493,0.1651452800054755,0.2208423569664967,0.3442752216087015,0.3926423511099793,0.1358786927418818,0.2381103378164003,0.2602009229715332,0.2847476136315524,0.1572339414660676,0.4701201979716412,0.2398763449085397,0.1539598977031116,0.1273269157086278,0.0833194244667169
bldg0008526-up06,0.1248338528712796,0.0932573833481435,0.0498577716927891,0.1018212046312506,0.0533677601250219,0.0374301012921918,0.032792399653435,0.0708867448720799,0.0436233952669877,0.0348451830161463,0.0323518525337402,0.0316496012929129,0.0315328590887384,0.1814204176807211,0.0793449498642891,0.0458490939452403,0.036654724807467,0.0336793698754003,0.1859141750148892,0.166852521211981,0.0726932669988532,0.0451868339683688,0.1667195511998539,0.0764851926380803,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.3552047738569905,0.1337451550187447,0.1145135117877968,0.1371943153169255,0.0614661060122706,0.1245589760684851,0.2159782807686013,0.084266346448085,0.3328622136722814,0.1803865894172688,0.0711016572412891,0.1104875235914137,0.0533410920016342,0.1139163777866269,0.0542493375921213,0.03479799205491,0.0289744638513852,0.0617880647457958,0.0600330278566938,0.0393033741859341,0.1380683012753707,0.0711771536906704,0.0565854175718808,0.0483634795814673,0.0484710648151655,0.044523346865813,0.1785862361870278,0.0965905257646351,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.1175848765403941,0.1089986646069804,0.0646787755827893,0.4665661098548392,0.2201548757541352,0.0971235907170009,0.0502291936782742,0.0342514172488636,0.0289972995297248,0.0280094385842138,0.0279125899973378,0.1140321133123615,0.0905931708083629,0.0476974591813837,0.0353033989629011,0.0648891129742986,0.0413344033394945,0.0336563514620574,0.0649139368331476
bldg0010483-up06,0.0256667387335442,0.0235139057226147,0.0228592415291187,0.0226634414136498,0.0226567754798184,0.0226691758582428,0.0227023151476364,0.0227437655504335,0.2818377070957635,0.1032976873089471,0.0459625895436943,0.0304709764375331,0.0252718713063253,0.0236065277680827,0.0230808776165191,0.0229336104653342,0.0228942812885875,0.0229125953387113,0.0229405857448794,0.0229725910787548,0.0230008910646885,0.0230300734418159,0.4549328735387464,0.157987245366928,0.001,0.001,0.001,0.0910617289407918,0.1645699267704119,0.0608182138432607,0.4083571198390611,0.4556266116881289,0.1602077481895668,0.285406831947804,0.17863660666062,0.0711534022326467,0.218884612330336,0.2449455165978522,0.1918369600460704,0.3537494837158812,0.465501354523661,0.2463523518511152,0.162151358993018,0.1551070675780219,0.4947774366698029,0.4543844767674993,0.3353829947036567,0.4824627573320019,0.2666782813991029,0.2917864614929247,0.2166138330149151,0.3985516848986354,0.3612505145262211,0.3468742201680863,0.2082506702501457,0.4781546434382596,0.3518460866543095,0.2037103191580565,0.1807537273161375,0.2073814366663244,0.0805505670990608,0.2233186868696801,0.0867144077516494,0.338436670221825,0.4712006998427048,0.1569321664372554,0.2847638350478994,0.3283548201387808,0.001,0.001,0.001,0.2507360124338422,0.0885420700912402,0.4621808295510645,0.2706192771214015,0.4663993106999784,0.4593360888095682,0.2556037745967432,0.1639085654495799,0.2238331025324675,0.4779559754006276,0.4199134742778032,0.4204383378636991,0.1834898173177283,0.2246663757758409,0.1017692005171001,0.0536280313949849,0.4069003881073604,0.4788219913865354,0.4647154514173748,0.4178552504930604,0.1546044024079907,0.0674553925629776,0.0368124596005315,0.0264527700079637,0.0904777153561919
bldg0011355-up06,0.0240678587958598,0.0240785960640857,0.0240844200583082,0.0240877844591731,0.0241236378848907,0.0241370950286068,0.0241532706157906,0.0241703679579916,0.0241675175788114,0.0246916749258291,0.0264707375111364,0.0274479436335503,0.0277195300919273,0.0275569406216598,0.0275216775115057,0.0275292780650283,0.0275271833398559,0.0275030020521887,0.0274641480180347,0.0274281680059609,0.0273808028478848,0.0273374460617247,0.229280769959779,0.0918031938584036,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.4534907440406143,0.2138376245671835,0.0944884966354829,0.0723836663668753,0.0417501862654493,0.0310493744471062,0.025763790964437,0.0240445321459904,0.0238671227137456,0.0239233089294872,0.023953381744214,0.0239742506613657,0.0240020784418778,0.0240254566363333,0.0240468725197495,0.024063906682757,0.024103162734559,0.0241354683884744,0.0241641980302819,0.0241933745562229,0.0242123782162984,0.024248426700014,0.0242717058357984,0.0242967536056198,0.0243100715381612,0.0243263724547115,0.153450076939364,0.0664128257072006,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0982677404109242,0.0477654590037297,0.032253117991599,0.0270037158766528,0.0252977413023157,0.0247052504581315,0.0359972519010351,0.0920581842952229,0.0453533543213024,0.030037357020362,0.0263119222835798,0.0250916074002694,0.0247077193909349,0.0245768816639691,0.0245399503895003,0.0245286838201545
bldg0012517-up06,0.0465273153903155,0.0313827747421783,0.0269516216058673,0.0255119431361685,0.0250884946802484,0.0249614510508334,0.0249355604214264,0.0249492338300719,0.0249495903945505,0.0249749243566334,0.0249990975870112,0.0250238885371611,0.0250355606483092,0.0250650856682968,0.0250911489202793,0.0251177698669616,0.0251267859023267,0.0251534625001305,0.0251775122890912,0.0252005934217051,0.0756061469602829,0.0412101165185954,0.155026646422121,0.0677592336031199,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0278159175666629,0.1315344323077643,0.4531323001138801,0.3493446853603072,0.2405447718066648,0.0889000986306071,0.0440973942340118,0.0298771873933468,0.0251666759545907,0.0236481013820754,0.0231786732982834,0.0230479673009019,0.0230278794820246,0.0230426462238718,0.0230726633002581,0.0231046662765341,0.0231377175498169,0.0231696756882694,0.0232125279847185,0.0232513614822299,0.0232901306446431,0.0233300482909562,0.0233571937369644,0.0234003029936046,0.0234416248475579,0.0234813217458833,0.0235163047953049,0.0641407870458101,0.1586763710037061,0.0664498131542511,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.2839683453873567,0.1093202209979224,0.082656205302224,0.2614772087685768,0.3143073594834363,0.1453925930048494,0.243952687333717,0.1293660566862435,0.0549257086589925,0.1004167448226384,0.0506590721995857,0.032012278256941,0.0942637759466154,0.0460187534332909,0.0304434160427801,0.0257967971045509
bldg0012639-up06,0.0270859234895754,0.0269817058948023,0.0269778811713765,0.0269991989674297,0.0270712550678515,0.0271201210444216,0.0271733947801821,0.0272292712490201,0.02725390240445,0.027302561498761,0.0273502694594597,0.0273982949918829,0.0274348874307929,0.0274889458924432,0.0275367064242318,0.0275763954863596,0.0275968947036646,0.0276393724841384,0.0276789999230652,0.0277172702349007,0.0277475177165769,0.027090014704766,0.1522233483837614,0.0636640817486812,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0440075084970224,0.0277343268664943,0.0221796476297044,0.0209147649859669,0.4765245187887906,0.4492976992767484,0.3396942296767961,0.4803535783530173,0.4720106646719582,0.2165904759295348,0.0971646693701346,0.1594343917699559,0.1486605601836132,0.2012956989250808,0.4940193706100287,0.4610538316704255,0.2177688476492117,0.489336314675861,0.4624496815884383,0.4257557831887504,0.3263335421405626,0.4856636204411059,0.3541840031529467,0.120112139416365,0.1177384452816032,0.0538161202951687,0.0327435516058176,0.0261224772504679,0.0239940528473838,0.0233295996284776,0.0231622970039619,0.0231377391821019,0.0231645625542319,0.1403820824810388,0.0616313334036836,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0265613122578625,0.0850042659519292,0.1103865916890399,0.4693930775218769,0.2848819904040027,0.1216476168606294,0.0603476066183711,0.1330105994416741,0.1779052895425723,0.0727492788858473,0.1023787705731794,0.179465072997776,0.1419724011773395,0.0620580535814784,0.037764412218018,0.0301948401781731,0.0277444474338536,0.0270472678552876,0.0268043483979117
